"ID"	"ORF"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"55601_at"	55601	3.5983585526	10.2840560237	14.3555981767769	1.74111103296086e-12	3.22784574400614e-08	17.8527007653395
"10379_at"	10379	1.6315929768	10.6164758206	11.4014918808398	1.41238733928602e-10	9.52112059572428e-07	14.0348601708864
"8638_at"	8638	4.3123809008	10.1529799268	11.2761745475348	1.73348996097382e-10	9.52112059572428e-07	13.8512599286608
"79132_at"	79132	1.7676136585	7.63375264125	11.1730652656706	2.05429000393209e-10	9.52112059572428e-07	13.6987445526556
"10561_at"	10561	3.3970720036	9.1492845942	10.7663717949939	4.05844191964549e-10	1.4080117191575e-06	13.0841629903045
"24138_at"	24138	2.1772622669	8.38837359435	10.6982328909345	4.55691801874156e-10	1.4080117191575e-06	12.9791291604635
"55008_at"	55008	2.5832896383	9.42523685945	9.81261247872309	2.15540227430448e-09	5.16827269266177e-06	11.5580514041082
"1890_at"	1890	1.715459791	10.0600121954	9.73955732006428	2.46028932259633e-09	5.16827269266177e-06	11.4360662384793
"83666_at"	83666	2.2321533619	8.35568537715	9.72876049978076	2.50900556847489e-09	5.16827269266177e-06	11.4179750716519
"4939_at"	4939	3.1334077314	8.0350517933	9.54516223209992	3.50952496018915e-09	6.20771804743841e-06	11.107839667258
"4600_at"	4600	4.0022146195	9.13980003385	9.51890536003838	3.68331077845744e-09	6.20771804743841e-06	11.0630988690838
"9636_at"	9636	3.0112650334	12.4614497853	9.34427923965829	5.09070075854771e-09	7.864708446893e-06	10.7630547012432
"4938_at"	4938	3.146123639	9.3750121055	9.28041818876466	5.73567151811194e-09	8.17950879032902e-06	10.6522423244274
"151636_at"	151636	1.6632778065	8.70703790445	9.12173584438801	7.73172843440579e-09	1.02384652461035e-05	10.37435791927
"23586_at"	23586	3.315085446	8.4934960461	9.03562426330286	9.10405722796676e-09	1.12520077966184e-05	10.2220362674796
"54739_at"	54739	2.7120270585	7.30528639005	8.96555723420614	1.04057818517712e-08	1.17590632531487e-05	10.0973005446813
"5359_at"	5359	1.376033389	11.0056003835	8.9319245936532	1.10976489807052e-08	1.17590632531487e-05	10.0371723628183
"8876_at"	8876	0.389819509299999	5.26532964765	8.91176472880593	1.15350247497564e-08	1.17590632531487e-05	10.0010515087816
